"Address";"Tags"
"01000, Україна, Івано-Франківська обл., ТЛУМАЦЬКИЙ р-н., с. БУКІВНА, вул. ВІДСУТНЯ, буд. ВІДСУТНІЙ";"['PostCode', 'Country', 'Region', 'RegionType', 'County', 'CountyType', 'LocalityType', 'Locality', 'StreetType', 'Comment', 'HouseNumberType', 'Comment']"
"01000, Україна, Миколаївська обл., ЮЖНОУКРАЇНСЬК, НАБЕРЕЖНА ЕНЕРГЕТИКІВ, буд. 47, кв. 60";"['PostCode', 'Country', 'Region', 'RegionType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"01000, Україна, Сумська обл., м. СУМИ, вул. ДЕМЬЯНА КОРОТЧЕНКО, буд. 10, кв. 99";"['PostCode', 'Country', 'Region', 'RegionType', 'LocalityType', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"01000, Україна, Хмельницька, Хмельницький, Пілотська, буд. 7, кв. 130";"['PostCode', 'Country', 'Region', 'Locality', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"01001 КИЇВ, місто КИЇВ, місто Київ вул. Депутатська, буд. 6, кв. 69";"['PostCode', 'Region', 'LocalityType', 'Locality', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"01001 КИЇВ, місто КИЇВ, місто Київ пр-т Науки, буд. 80а, кв. 118";"['PostCode', 'Region', 'LocalityType', 'Locality', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"01001 Київська с. Святопетрівське с.Святопетрівське, вул. Л.Українки, 8 прим. 93 вул., буд.";"['PostCode', 'Region', 'LocalityType', 'Locality', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'RoomType', 'Room', 'StreetType', 'HouseNumberType']"
"01001 м. Київ Лесной п-т., буд. 13, кв. 114";"['PostCode', 'LocalityType', 'Locality', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"01001, Україна, Вінницька обл., ТОМАШПІЛЬСЬКИЙ р-н., смт. ТОМАШПІЛЬ, вул. КАЛИНОВА, буд. 6";"['PostCode', 'Country', 'Region', 'RegionType', 'County', 'CountyType', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"04111 АВТОНОМНА РЕСПУБЛІКА КРИМ Сімферополь, місто Сімферополь вул. НІКАНОРОВА, буд. 7, кв. 71";"['PostCode', 'Region', 'Region', 'Region', 'Locality', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"08703 Обухів Київська 166/191";"['PostCode', 'Locality', 'Region', 'HouseNumber']"
"обл. Киев, м.Киев, КОЛАСА ЯКУБА ВУЛ., буд. 29, кв. 236, під’їзд 7, поверх 6";"['RegionType', 'Region', 'Locality', 'Street', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"обл. Киев, м.Киев, КІОТО ВУЛ., буд. 5, кв. 5, під’їзд 1, поверх 2";"['RegionType', 'Region', 'Locality', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"обл. Киев, м.Киев, СТРАТЕГІЧНЕ ШОСЕ, буд. 17, кв. 30, під’їзд 1, поверх 8";"['RegionType', 'Region', 'Locality', 'Street', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"10000 с.Зарічани буд. 110";"['PostCode', 'Locality', 'HouseNumberType', 'HouseNumber']"
"11111 с. Криштопівка Червоноармійська 20";"['PostCode', 'LocalityType', 'Locality', 'Street', 'HouseNumber']"
"14021 Чернігівська обл. Чернігівський р-н чернігів вул. гребінки, буд. 33";"['PostCode', 'Region', 'RegionType', 'SubLocality', 'SubLocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"15050, Україна, Чернігівська обл., РІПКИНСЬКИЙ р-н., с. ПЕТРУШІ, вул. КОМАРОВА, буд. 25";"['PostCode', 'Country', 'Region', 'RegionType', 'County', 'CountyType', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"Вінницька, с, Богданівка, вулиця, Шевченка, 32";"['Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"Запорізька, Бердянський, Трояни (Андрівська), Школьная 7а";"['Region', 'County', 'Locality', 'AdditionalData', 'Street', 'HouseNumber']"
"Запорожье, село КОНСТАНТИНОВКА, ПОБЕДЫ 97";"['Region', 'LocalityType', 'Locality', 'Street', 'HouseNumber']"
"Волинська, 44222 Любешівський, с.Погулянка, вул. Поліська, 10";"['Region', 'PostCode', 'County', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"Дніпропетровська, 49000, Дніпропетровськ, Цілинна, 14";"['Region', 'PostCode', 'Locality', 'Street', 'HouseNumber']"
"Дніпропетровська, 49000, м.Дніпропетровськ, вул. Тунельна, 57";"['Region', 'PostCode', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"Дніпропетровська, 49000 Бабушкінський, м.Дніпропетровськ, ж/м Тополя-2, 1, 35";"['Region', 'PostCode', 'SubLocality', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"Дніпропетровська, 50000 Кривий Ріг, Кривий Ріг, вул. XXІІ П/з’ізду, 18, 58";"['Region', 'PostCode', 'Locality', 'Locality', 'Locality', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumber', 'Apartment']"
"Дніпропетровська, 50000 Кривий Ріг, Кривий Ріг, вул. мкр. Сонячний, 22, 101";"['Region', 'PostCode', 'Locality', 'Locality', 'Locality', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumber', 'Apartment']"
"Дніпропетровська, 51242 Новомосковський, с.Попасне, вул Радянське, 18";"['Region', 'PostCode', 'County', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"обл. Киев, м. Киев, АХМАТОВОЇ АННИ ВУЛ., буд. 9/18, кв. 63";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"обл. Киев, м. Киев, ГОНГАДЗЕ ГЕОРГІЯ ПР-Т, буд. 32А, кв. 61, під’їзд 2, поверх 7";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"обл. Киев, м. Киев, ЙОРДАНСЬКА ВУЛ., буд. 4, кв. 129, під’їзд 2, поверх 2";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"обл. Киев, м. Киев, ЛИПКІВСЬКОГО ВАСИЛЯ МИТРОПОЛИТА ВУЛ., буд. 37А, кв. 155, під’їзд 2, поверх 5";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'Street', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"обл. Киев, м. Киев, МАЯКОВСЬКОГО ВОЛОДИМИРА ПР-Т, буд. 62А, кв. 199, під’їзд 4, поверх 4";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"обл. Киев, м. Киев, МЕЖОВИЙ ПРОВ., буд. 3, кв. 33, під’їзд 1, поверх 3";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"обл. Киев, м. Киев, НАБЕРЕЖНО-КОРЧУВАТСЬКА ВУЛ., буд. 84, кв. 12, під’їзд 1, поверх 3";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"обл. Киев, м. Киев, ОЛЕКСАНДРІВСЬКА ВУЛ. (ШЕВЧЕНКІВСЬКИЙ РАЙОН), буд. 1, кв. 119, під’їзд 6, поверх 8";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'StreetType', 'AdditionalData', 'AdditionalData', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"обл. Киев, м. Киев, Тимошенко М. 2б, кв.108";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'Street', 'HouseNumber', 'Apartment']"
"обл. Киев, м. Киев, ЛЯТОШИНСЬКОГО КОМПОЗИТОРА ВУЛ., буд. 4А, кв. 26, під’їзд 1, поверх 7";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"обл. Киев, м. Киев, ВЕРХОВНОЇ РАДИ Б-Р, буд. 18, кв. 18, під’їзд 1, поверх 5";"['RegionType', 'Region', 'LocalityType', 'Locality', 'Street', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment', 'EntranceType', 'Entrance', 'FloorType', 'Floor']"
"Кривой Рог, Довгинцівський, Сахарова (Дг) вул., 1";"['Locality', 'Locality', 'SubLocality', 'Street', 'AdditionalData', 'StreetType', 'HouseNumber']"
"Кривой Рог, Металургійний, Медична (Мт) вул., 1";"['Locality', 'Locality', 'SubLocality', 'Street', 'AdditionalData', 'StreetType', 'HouseNumber']"
"Кривой Рог, Саксаганський, Генерала Радієвського (С) вул., 1";"['Locality', 'Locality', 'SubLocality', 'Street', 'Street', 'AdditionalData', 'StreetType', 'HouseNumber']"
"м. Киев, КУРНАТОВСЬКОГО ВУЛ., буд. 6, кв. 11";"['LocalityType', 'Locality', 'Street', 'StreetType', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"54029, Миколаївська обл., місто Миколаїв, вул. Бузника, буд. 8, кв. 32";"['PostCode', 'Region', 'RegionType', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"58002, Чернівецька обл., Чернівці, вул. Головна, 6";"['PostCode', 'Region', 'RegionType', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"03055, Київ, вул. Борщагівська, 46, кв.37";"['PostCode', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"42060, Сумська обл., Роменський р-н, Хоминці, вул. Комсомольська, 20";"['PostCode', 'Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"33000, Рівненська обл., Рівне, ул.Ювілейна, дом. 9, кв. 106";"['PostCode', 'Region', 'RegionType', 'Locality', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"73035,,, Херсон, вул. Єсеніна, 10";"['PostCode', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"61177,,, Харків, вул. Золочівська, 12, корп. 5, кв.28-29";"['PostCode', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'HousingType', 'Housing', 'Apartment']"
"34401 Рівненська обл. Вараш вул. Будівників 7, корп.Б кв.15";"['PostCode', 'Region', 'RegionType', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Housing', 'Apartment']"
"43024,,, Луцьк, вул. Молоді, 10, кв.67";"['PostCode', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"62203, Харківська обл., Золочівський р-н, смт Золочів, вул. Мічуріна, буд. 15";"['PostCode', 'Region', 'RegionType', 'County', 'CountyType', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"Полтавська Чутівський Жовтневе вул. буд. кв.";"['Region', 'County', 'Locality', 'StreetType', 'HouseNumberType', 'ApartmentType']"
"ХМЕЛЬНИЦЬКА ОБЛАСТЬ Шепетівський район Вербівці";"['Region', 'RegionType', 'County', 'CountyType', 'Locality']"
"01000, Україна, Вінницька, Тиврівський, с. Яришівка, вул. Леніна, буд. 90";"['PostCode', 'Country', 'Region', 'County', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"91000 ЛУГАНСЬКА ОБЛАСТЬ Луганськ, місто Луганськ 2-ой проезд Менжинского, 11";"['PostCode', 'Region', 'RegionType', 'Locality', 'LocalityType', 'Locality', 'Street', 'Street', 'Street', 'HouseNumber']"
"Днепропетровская, Широке, Інгулецька 69";"['Region', 'Locality', 'Street', 'HouseNumber']"
"Дніпропетровська обл. Криворізький р-н Пичугине вул. Станційна, буд. 21";"['Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"Дніпропетровська, Дніпро, Дніпро, Гагарига 26";"['Region', 'Locality', 'Locality', 'Street', 'HouseNumber']"
"Дніпропетровська, Криворізький, Інгулець (Чкалівська сільська рада), Недєліна 22, кв. 3";"['Region', 'County', 'Locality', 'AdditionalData', 'AdditionalData', 'AdditionalData', 'Street', 'HouseNumber', 'ApartmentType', 'Apartment']"
"Дніпропетровська, м, Кам’янське (Дніпродзержинськ), вулиця, Локтюхова, 10, 39";"['Region', 'LocalityType', 'Locality', 'AdditionalData', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"Дніпропетровська, м, Кривий Ріг, мікрорайон, Ювілейний, 12, 30";"['Region', 'LocalityType', 'Locality', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"Дніпропетровська, с, Миролюбівка, вулиця, Садова, 8";"['Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"Дніпропетровська, смт, Петропавлівка, вулиця, Зарічна, 19";"['Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"Запорізька, смт, Приазовське, вулиця, Дружби, 13, 4";"['Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"Івано-Франківська, смт, Делятин, вулиця, Шептицького, 50";"['Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"Київська, м, Біла Церква, вулиця, Я.Мудрого, 5/13, 9";"['Region', 'LocalityType', 'Locality', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"Кіровоградська обл. Добровеличківський р-н Тишківка вул. Ярослава Мудрого, буд. 19";"['Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumberType', 'HouseNumber']"
"Луганська обл. Старобільський р-н Старобільськ кв. Южний, буд. 3, кв. 26";"['Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"Львівська, м, Львів, проспект, Пр.Черв.Калини, 100, 15";"['Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"МИКОЛАЇВСЬКА ОБЛАСТЬ Первомайський район Первомайськ вул. Пригородна, буд. 21";"['Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"Миколаївська, с, Кам’яний Міст, вулиця, Набережна, 47";"['Region', 'LocalityType', 'Locality', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"Одеська, м, Одеса, вулиця, І.Рабіна, 47, 35";"['Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'Apartment']"
"Полтавська обл. Карлівський р-н Карлівка вул. Красноперича, буд. 14";"['Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"ПОЛТАВСЬКА ОБЛАСТЬ Миргородський район Декабрістів вул. ШКІЛЬНА, буд. 19";"['Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"Полтавська, Полтава, Полтава, Рози Люксембург 82, кв. 11";"['Region', 'Locality', 'Locality', 'Street', 'Street', 'HouseNumber', 'ApartmentType', 'Apartment']"
"Полтавська, с, Іващенки, вулиця, Чапаєва, 44";"['Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"Полтавська, Хорольський, Ставки (Штомпелівської сільської ради), Степова 11";"['Region', 'County', 'Locality', 'AdditionalData', 'AdditionalData', 'AdditionalData', 'Street', 'HouseNumber']"
"Сумська обл. Охтирський р-н Оленинське бул. Коротка, буд. 10";"['Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"ХАРКІВ ПРОВ ЛІЗИ ЧАЙКІНОЇ 2 КВ 1";"['Locality', 'StreetType', 'Street', 'Street', 'HouseNumber', 'ApartmentType', 'Apartment']"
"Харківська, м, Ізюм, вулиця, Кам’янська, 53";"['Region', 'LocalityType', 'Locality', 'StreetType', 'Street', 'HouseNumber']"
"Харківська, Харків, Харків, Переулок Отакара Яроша 3а, кв. 503";"['Region', 'Locality', 'Locality', 'StreetType', 'Street', 'Street', 'HouseNumber', 'ApartmentType', 'Apartment']"
"Хмельницька обл. Старокостянтинівський р-н Самчики вул. Нова, буд. 2, кв. 3";"['Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber', 'ApartmentType', 'Apartment']"
"Чернігівська обл. Городнянський р-н Макишин вул. Миру, буд. 67";"['Region', 'RegionType', 'County', 'CountyType', 'Locality', 'StreetType', 'Street', 'HouseNumberType', 'HouseNumber']"
"79038, Львовская, Львів, Садівнича 27, кв. 34";"['PostCode', 'Region', 'Locality', 'Street', 'HouseNumber', 'ApartmentType', 'Apartment']"
"78302, Ивано-Франковская, село Хутор-Будылив, Новая 97";"['PostCode', 'Region', 'LocalityType', 'Locality', 'Street', 'HouseNumber']"
"Генерала Захарченка Вул.";"['Street', 'Street', 'StreetType']"
"Гетьмана Петра Дорошенка Вул.";"['Street', 'Street', 'Street', 'StreetType']"
"49000, Дніпро, Андрія Фабра Вул., 23";"['PostCode', 'Locality', 'Street', 'Street', 'StreetType', 'HouseNumber']"
"49010, Дніпро, Лабораторна Вул., 71";"['PostCode', 'Locality', 'Street', 'StreetType', 'HouseNumber']"
"49000, Дніпро, Князя Володимира Великого Вул., 15/а";"['PostCode', 'Locality', 'Street', 'Street', 'Street', 'StreetType', 'HouseNumber']"
"Донецька, 87500 Маріуполь, м.Маріуполь, бул. 50 років Жовтня, 15/20, 85";"['Region', 'PostCode', 'Locality', 'Locality', 'StreetType', 'Street', 'Street', 'Street', 'HouseNumber', 'Apartment']"
"Київська, 08161 Києво-Святошинський, Тарасівка, вул. Островського, 22 А";"['Region', 'PostCode', 'County', 'Locality', 'StreetType', 'Street', 'HouseNumber', 'HouseNumberAdditionally']"
